Incident Number,bsee_activity,bsee_type_checkboxes,bsee_operation,bsee_cause_checkboxes,bsee_water_depth,bsee_property_damaged,bsee_possible_ocs_violations,bsee_violations_narrative,bsee_onsite_investigation_date,bsee_accident_classification,bsee_panel_formed,bsee_operator,bsee_form_revision,bsee_extract_status,bsee_source_url,bsee_sha256
GC-608-20160722-1725,EXPLORATION(POE) X (DOCD/POD),"HISTORIC INJURY REQUIRED EVACUATION 2 X LTA (1-3 days) X LTA (>3 days 2 RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION X FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE Corporation DAMAGED/DISABLED SAFETY SYS. X INCIDENT >$25K <$100,000 H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER Gas release REPRESENTATIVE/SUPERVISOR",X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,4300 FT.,"NATURE (barrel oil per day) and 16 board) at time of incident was OF DAMAGE: Walkway adjacent to compressor, wiring, Walkway adjacent to compressor was damaged scorched piping, insulation.(See pictures by the fire. Wiring on and around taken of the damage.) compressor was burnt. and piping was scorched. Less than $100,000",YES Office of Incident,G-110: Does the lessee perform all operations in a safe and workmanlike manner and provide for the preservation and conservation of property and the environment? Fire and injuries occurred to two operators following the bleeding down of flash gas compressor CBA-5020A #5 cylinder on 1st stage suction. Note- No JSA was performed prior,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Anadarko Petroleum REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/gc608-anadarko-22-jul-2016.pdf,74ded7d5e4f3536ebc0cc7af6ffd8fc9ea2b1f6926ca61f15cbbec372325cee7
GC-680-20170321-1000,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION X FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE Corporation DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM X REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,4970 FT.,"Signal Line Starter Flex piping Associated hoses/piping 22. RECOMMENDATIONS TO PREVENT located between the starter and engine, which made Fire $8,000 RECURRANCE The Houma District has no recommendation for the Regional Office.",NO,24. SPECIFY VIOLATIONS DIRECTLY OR None,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO /,Anadarko Petroleum REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/gc680-anadarko-21-mar-2017.pdf,c335588d4350d4205d001462d3c8dc6f3b22b291934c02b47737fc9500436fb6
GC-680-20171227-1845,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING Corporation DAMAGED/DISABLED SAFETY SYS. X INCIDENT >$25K 4700000.00 H2S/15MIN./20PPM X REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED X LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,4970 FT.,"1. A-1 Wellhead damage 2. A-5 Wellhead 3. Workover deck grating 4. Well A-1 down stop 5. High pressure (HP) nitorgen (N2) hose $4,700,000",YES,"G-111 Warning issued at the end of the investigation from the Houma District Office on 04- 20-2017. The INC states as follows: During the investigation of incidents occurring on 12- 27-2017 and 12-31-2017, it was determined the cause of the Well A-1 dry tree and riser drop was due to extreme corrosion to the air-up lines for the #2 and #3 chambers causing the chambers to fill with seawater. This caused the A-1 dry tree/riser to lose buoyancy and descend approximately 30 feet until coming to a stop on the spar deck. The primary causes for the above mentioned incidents were due to inadequate inspection and monitoring of the air-up lines and excessive corrosion on the air lines due to insufficient protective coating of the field welds.",,,28. ACCIDENT INVESTIGATION PANEL FORMED: NO,Anadarko Petroleum REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,C,ok,https://www.bsee.gov/sites/bsee.gov/files/gc680-anadarko-27-december-2017.pdf,7217b31cd6c3429ab40ff5d8f29608975b22ee4663516487c264b9c44bacee15
GC-680-20170429-0112,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION X FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE Corporation DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM X REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,4970 FT.,NATURE Two heat blankets and tubing Fire $300,NO OF DAMAGE: Regional Office.,24. SPECIFY VIOLATIONS DIRECTLY OR None,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO /,Anadarko Petroleum REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/gc680-anadarko-29-apr-2017.pdf,80494632315964125324eda329960d16b7ab49809c1fc4d2edebc8487acdde02
GC-683-20151029-1740,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION 1 X LTA (1-3 days) X LTA (>3 days 1 RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS X CRANE OTHER LIFTING DEVICE Corporation DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING WORKOVER X COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER BLACKHORNET,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,4473 FT.,NATURE N/A N/A,OF DAMAGE: the Regional Office at this time.,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO / Paul,Anadarko Petroleum REPRESENTATIVE: TELEPHONE: CONTRACTOR: Diamond Offshore REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/incident-and-investigations/gc683-anadarko-29oct2015.pdf,c2d791fe20a5e9f38edcdc001f3b41c472fcb5a161b5fee3d112fe0eabb4d344
GC-787-20180508-0915,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING Inc. DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER X SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,7050 FT.,"none the line-of-sight gas detectors for not placed in bypass, however the skid did not sense the presence of n/a",YES Office of Incident Investigations.,"On 09-20-2018 an Incident of Non-Compliance (INC G-110 (W)) was issued from the Houma District Office for the incident occurring on May 08, 2018. The INC states as follows: ""On May 08, 2018 a gas release incident occurred on the Sales Gas Skid due to an improper Teflon seal or seals placed in the Sales Gas Meter #3 during a transmitter change-out 18 days prior to the incident. This was the third gas release incident on the facility due to the Teflon seals since October 07, 2008. BP was aware of the fault in these seals and did not verify that the 3rd party measurement transmitter change-out.""",,,28. ACCIDENT INVESTIGATION PANEL FORMED: NO,BP Exploration & Production REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,C,ok,https://www.bsee.gov/sites/bsee.gov/files/gc787a-bp-08-may-2018.pdf,a173db4d7adebc8cdacf2ab467b5774ec4ac82025c3669fe3dcdd18854e44a9e
GC-807-20161210-0540,X EXPLORATION(POE) (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION X FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM Services Inc. REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,4954 FT.,"Waste oil incinerator tank Waste oil incinerator tank ballooned and one isolation valve has been damaged $1,500",NO Office of Incident Investgations,BSEE Houma District has no recommendations to make to the Office of Incident Investigations at this time.,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Chevron U.S.A. Inc. REPRESENTATIVE: TELEPHONE: CONTRACTOR: Pacific Drilling REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/gc807-chevron-11-dec-2016.pdf,2de19be5d67d7b6de5034b3172c3ad19660cf70bb57dae715819512026d0f213
GI-116-20171203-2215,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),"HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION X FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DAMAGED/DISABLED SAFETY SYS. X INCIDENT >$25K $30,000 H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR",X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,326 FT.,"#2 seawater lift pump electric motor $30,000 motor housing. The excessive heat ignited the oil in the motor housing.",NO,,,,28. ACCIDENT INVESTIGATION PANEL FORMED: NO,Fieldwood Energy LLC REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,C,ok,https://www.bsee.gov/sites/bsee.gov/files/gi-116-fieldwood-03dec2017.pdf,69664fa9be60352494f4869f27038c215639fe05972ebd06c0365ad5dadd53b2
GI-22-20190716-0700,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),INJURIES: HISTORIC INJURY OPERATOR REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days) RW/JT (1-3 days) RW/JT (>3 days) FATALITY Other Injury X POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER 29.12277778 COMPLETION -89.96611111 HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE CONTRACTOR SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,55 FT.,NATURE,YES,"E -100 IS THE OPERATOR PREVENTING UNAUTHORIZED DISCHARGE OF POLLUTANTS INTO OFFSHORE WATERS. • Inspectors observed active discharge from GI 22-R at the time of arrival. Operators were actively discharging oil into the Gulf of Mexico due to cleanup operations. Operators were applying rig soap, Dawn soap, and saltwater to remove oil residue from the facility equipment. G- 110 DOES THE LESSEE PERFORM ALL OPERATIONS IN A SAFE AND WORKMANLIKE MANNER AND PROVIDE FOR THE PRESERVATION AND CONSERVATION OF PROPERTY AND THE ENVIRONMENT? • The well hatch cover for Well R-22 was removed and improperly barricaded. INC corrected before end of inspection on 7/16/2019. G- 115 ARE OPERATIONS CONDUCTED IN ACCORDANCE WITH APPROVED APPLICATIONS? • Cox failed to install the tubing connection upstream of the final gas lift FSV per approved SFD’s. 25 DATE OF ONSITE INVESTIGATION: July",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO Inspector),"Energy XXI GOM, LLC REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:",C,ok,https://www.bsee.gov/sites/bsee.gov/files/gi-22-energy-xxi-gom-llc-16jul2019.pdf,c87f7c9afab4ad42cf408f6ed4115d43e5e5977e52a47393def5c9dd66a00745
GI-22-20130806-1925,[] EXPLORATION(POE) ~ (DOCD/POD),[]HISTORIC INJURY X REQUIRED EVACUATION 1 LTA {1-3 days) LTA (>3 days RW/JT {1-3 days) X RW/JT (>3 days) 1 Other Injury FATALITY ~ POLLUTION FIRE EXPLOSION LWC ~ HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR D COLLISION 0 HISTORIC >$25K STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/ 15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING WORKOVER 29.101448 COMPLETION -89.97855 HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. Construction,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H20 TREATING OVERBOARD DRILLING FLUID X OTHER Complacency,55 FT.,NATURE Scaffold Legs Bent $,YES OF DAMAGE: recommendations to the Agency.,G-110 (W) removing butterfly valve,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO /,"Energy XXI GOM, LLC REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:",B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/gi-22-l-energy-xxi-06-aug-2013.pdf,a7408952272c2312891f215c6c5f3f8e93f91e99f511e623e31b20b6223ca3cc
GI-22-0850,[] EXPLORATION (PO E) ~ (DOCD/POD),[] HISTORIC INJURY X REQUIRED EVACUATION 1 x LTA (1-3 days) 1 LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY ~ POLLUTION X FIRE EXPLOSION LWC ~ HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR D COLLISION 0 HISTORIC >$25K STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S / 15MIN. /20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED X LEAK UPSET H20 TREATING OVERBOARD DRILLING FLUID OTHER,55 FT.,FLEX PIPING,YES,G-110 W 107(a) was issued for personnel performing repair maintenance operations on the Gas Booster Compressor (Unit 72900) did not provide for the protection of all personnel. Unsafe practices and procedures resulted in a flash fire injuring one personnel.,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Energy XXI GOM, LLC REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:",B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/gi-22-l-energy-xxi-24-oct-2013.pdf,f2a1d99f27186e20ab7073b1598a7ce9352b2c5df2a05384a9978f9dfc1e2fef
GI-43-20180126-0600,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY X POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,X EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED X LEAK X UPSET H2O TREATING OVERBOARD DRILLING FLUID X OTHER Unsafe Culture,110 FT.,"1. Failed section of Vent Header Piping Equipment failure. replacement: $3,000 2. Skimmer water outlet 18” SDV replacement: $15,000 3. Skimmer poly pack - replacement: $36,500. $54,500",YES,This investigation resulted in the issuance of eleven (11) Notification of Incident(s) of Noncompliance to GI 43 AQ-QRT/AP-QRT/AC-CMP/AR-RSR/AS-SEP as follows: On 2-1-2018 - One (1) INC was issued: 1 E-100 - Unauthorized discharge of pollutants into offshore waters. On 4-10-2018 - Ten (10) INCs were issued: 7 P-103's - Safety devices in bypass. 2 G110's - Operations not conducted in a safe and workmanlike manner. 1 E103 - Sump system did not automatically maintain the oil level to prevent discharge into offshore waters.,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,GOM Shelf LLC REPRESENTATIVE: TELEPHONE: CONTRACTOR: ISLAND OPERATORS CO. INC. REPRESENTATIVE: TELEPHONE:,C,ok,https://www.bsee.gov/sites/bsee.gov/files/gi-43-26-jan-18-2010-final.pdf,1cb2750b8a087d5a190f8efbc81ec92dc20eb85c9a855052f02b96614b62a574
UNKEYED-48eeb31a0eae,EXPLORATION(POE) DEVELOPMENT/PRODUCTION X (DOCD/POD),INJURIES: HISTORIC INJURY OPERATOR REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days) RW/JT (1-3 days) RW/JT (>3 days) FATALITY Other Injury POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE X OTHER LIFTING DAMAGED/DISABLED SAFETY SYS. X INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE CONTRACTOR SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,FT. 110,"NATURE Crane Boom $100,000",NO OF DAMAGE:,24. SPECIFY VIOLATIONS DIRECTLY OR,,,,GOM Shelf LLC REPRESENTATIVE: TELEPHONE: CONTRACTOR: ISLAND OPERATORS CO. INC. REPRESENTATIVE: TELEPHONE:,C,ok,https://www.bsee.gov/sites/bsee.gov/files/gi-43ac-gom-shelf-18-aug-2021.pdf,48eeb31a0eae1d2791d00caea9a0bedc7dbd3db35edef73e319755d6b330d431
GI-47-20160115-1530,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION 1 X LTA (1-3 days) X LTA (>3 days 1 RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM INC. REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER 28.945539 COMPLETION -90.031099 HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,89 FT.,NATURE No damage to equipment $,YES OF DAMAGE: to the Office of Incident,"1. G-110 Lessee failed to perform crane and rigging operations in a safe and workmanlike manner. • Crane operator and rigger failed to incorporate familiarization with rigging hardware, taglines, slings and safety issues associated with rigging, lifting loads and lift planning resulting in unsafe crane and rigging practices, procedures and operations that caused an injury to personnel. 2. I-102 Lessee failed to perform crane operating practices for attaching and moving the load being utilize in accordance with API RP 2D, paragraphs 3.2.1,3.2.2 and 3.2.3 • During a lifting operation the appropriated taglines was not utilized at the time of the incident to control the to equipment and the facility.",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO Fraser /,GOM Shelf LLC REPRESENTATIVE: TELEPHONE: CONTRACTOR: ISLAND OPERATORS CO. REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/gi-47-gom-shelf-llc-15-jan-2016.pdf,ae4a29396d785cb0827b7f88cfd8439dcf49f286a8e2e379705db07473f05616
GI-76-20180825-0730,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY X POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER Spill REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL X PIPELINE SEGMENT NO. 8217 OTHER,X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED X LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID X OTHER 3/8 hole in pipeline,150 FT.,,YES,• E100 Lessee had an unauthorized discharge of approximately 352.27 Gallons of Oil into offshore waters. • G111 Lessee failed to properly maintain the KAH-0101 (Departing oil/gas Pipeline) which resulted in a leak in the pipeline offshore waters.,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO Nathan,Fieldwood Energy LLC REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,C,ok,https://www.bsee.gov/sites/bsee.gov/files/gi-76-25-aug-2018.pdf,732ced58120a30a2c2f5fb884f3a33bb46a50a7d68eac8f55a3aa8da85304ef6
